time,sensor_x0[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_y0[undefined],sensor_x[undefined],sensor_gamma[undefined],sensor_y[undefined],sensor_z0[undefined],sensor_z[undefined],label_activities_sitting
1652785666141,0.2,-2.5,-1.6,0,0.8,0.4,7,0,6.9,x
1652785666157.6,0.1,-2.5,-1.6,0,0.6,0.4,7,0,6.9,x
1652785666174.2,0,-2.5,1.2,0,0.5,-0.2,7,0.1,7.1,x
1652785666190.9,-0.1,-1.1,-0.6,0,0.5,0,7,0.2,7.1,x
1652785666207.6,-0.1,-0.5,-2.4,0,0.5,0.2,7,0,6.9,x
1652785666224.3,-0.1,-0.5,-2.4,0,0.5,0.2,7,-0.1,6.8,x
1652785666240.9,-0.1,-2.2,-2.1,0,0.6,0.8,7,-0.1,6.8,x
1652785666257.6,0,-2.7,-2.1,0,0.6,0.7,7,0,7,x
1652785666274.2,0.1,-2.7,-2.1,0,0.7,0.7,7,0.1,7,x
1652785666290.9,0,-1.5,-1.6,0,0.6,0.9,7,0,7,x
1652785666307.5,0,-1.1,-0.4,-0.1,0.6,0.9,6.9,0.2,7.1,x
1652785666324.2,0,-0.4,0.3,0,0.6,0.9,7,0.1,7.1,x
1652785666340.8,0,-0.4,0.3,0,0.6,0.9,6.9,0.1,7.1,x
1652785666357.6,-0.1,1.8,-3.3,0,0.6,0.9,7,0,7,x
1652785666374.2,-0.1,1.3,-4.5,0,0.5,1.3,7,-0.1,6.8,x
1652785666390.8,-0.1,1.3,-4.5,0,0.6,1.3,7,-0.1,6.9,x
1652785666407.5,-0.1,0.8,-5.3,0,0.5,2.8,6.9,0.1,7.2,x
1652785666424.2,-0.2,3.3,-7,-0.1,0.5,4,6.9,0.4,7.4,x
1652785666440.8,-0.2,6.6,-8.9,0,0.5,5.3,7,0.3,7.2,x
1652785666457.5,-0.1,6.6,-8.9,0,0.7,5.3,7,0.2,7.1,x
1652785666474.2,0,10.2,-12.8,0,0.8,5.3,7,0,6.9,x
1652785666490.9,0,9.5,-13.6,0,0.8,5.2,7,-0.1,6.8,x
