time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_walking
1664285102053.8,104.4,27.1,4.4,x
1664285102070.4,103.9,27.4,4.4,x
1664285102087.1,103.6,27.6,4.4,x
1664285102103.9,103.5,27.6,4.2,x
1664285102120.4,103.4,27.8,3.2,x
1664285102137.1,103.1,28.4,2.3,x
1664285102153.8,103.1,29,2.1,x
1664285102170.5,103.2,29.3,2,x
1664285102187.1,103.6,29.8,1.8,x
1664285102203.8,103.8,30,1.8,x
1664285102220.5,104.1,29.9,1.9,x
1664285102237.1,104.4,29.1,2.3,x
1664285102254.5,105.1,27.9,2.4,x
1664285102270.5,105.4,27.2,2.2,x
1664285102287.1,106.1,26.3,1.8,x
1664285102304.3,106.4,26.2,1.6,x
1664285102320.3,106.8,26.5,1.6,x
1664285102337.1,107.4,26.9,2.1,x
1664285102353.7,108.2,27.1,2.5,x
1664285102376.6,108.7,27,2.5,x
1664285102404,110.8,26.6,1.6,x
1664285102420.5,111.3,26.6,1.5,x
1664285102437,112.3,26.8,1.3,x
1664285102453.9,113.3,27.3,1.3,x
1664285102470.4,113.8,27.6,1.3,x
1664285102487.1,114.9,28.2,1.1,x
1664285102503.9,115.4,28.4,0.9,x
1664285102520.7,116.6,28.8,0.6,x
1664285102537.4,117.8,29,0.4,x
1664285102553.9,118.4,29.1,0.3,x
1664285102570.7,119.8,29.3,0.2,x
1664285102587.4,121.2,29.6,0.2,x
1664285102603.9,122,29.7,0.1,x
1664285102620.7,122.7,29.8,0,x
1664285102645.6,124.9,30.2,0,x
1664285102654.3,125.6,30.3,0,x
1664285102670.8,127.2,30.4,0.2,x
1664285102704.4,129.5,30.6,0.4,x
1664285102720.7,131.1,31.1,0.6,x
1664285102737.5,132.8,31.8,0.6,x
1664285102754.4,133.8,31.9,0.7,x
1664285102770.7,136,31.8,0.8,x
1664285102787.4,137,31.5,0.7,x
1664285102842.6,142.1,30.8,1.5,x
1664285102854,143.1,31,1.7,x
1664285102870.6,145,31.1,2,x
1664285102887.3,147.1,31,2.2,x
1664285102904.4,148.2,30.9,2.2,x
1664285102922.8,150.6,30.6,2,x
1664285102937.1,153,30.3,1.8,x
1664285102953.9,154.2,30.2,1.8,x
1664285102970.6,156.5,30,1.8,x
1664285102987.3,158.8,29.7,1.9,x
1664285103004,160,29.6,1.9,x
1664285103020.7,162.4,29.3,1.7,x
1664285103037.4,163.6,29.2,1.6,x
1664285103054.2,165.8,28.9,1.4,x
1664285103070.7,167.8,28.8,1.3,x
1664285103087.5,168.7,28.8,1.3,x
1664285103104,170.5,28.8,1.3,x
1664285103120.6,172.3,29,1.3,x
1664285103137.4,174,29,1.2,x
1664285103154,174.7,29,1.1,x
1664285103170.7,176.1,29,1.1,x
1664285103187.4,177.4,29,1,x
1664285103204.2,178.1,29,1,x
1664285103221,179.3,29.2,0.8,x
1664285103237.3,179.8,29.3,0.8,x
1664285103253.8,180.9,29.6,0.7,x
1664285103270.6,181.7,29.6,0.5,x
1664285103287.4,182.4,29.5,0,x
1664285103304,182.7,29.6,-0.2,x
1664285103320.6,183.1,29.7,-0.3,x
1664285103337.4,183.4,29.6,-0.1,x
1664285103370.5,184.9,28.6,-0.1,x
1664285103389.7,185.3,28.6,-0.1,x
1664285103403.8,185.4,28.6,0.1,x
1664285103429,186.2,28.6,1,x
1664285103441.9,186.5,28.6,1.3,x
1664285103453.9,186.8,28.5,1.4,x
1664285103470.5,187.4,28.3,1.3,x
1664285103487.3,188.2,28.1,1.1,x
1664285103504.2,188.6,28,1,x
1664285103520.4,189.3,27.8,0.7,x
1664285103537.4,189.9,27.8,0.5,x
1664285103553.9,190.1,27.9,0.5,x
1664285103570.8,190.5,28,0.5,x
1664285103587.4,191,28.2,0.6,x
1664285103604.3,191.2,28.2,0.7,x
1664285103620.5,191.8,28.4,0.7,x
1664285103637.2,192.4,28.5,0.5,x
1664285103654.6,193,28.6,0.4,x
1664285103670.6,193.3,28.6,0.4,x
1664285103688.7,193.8,28.5,0.4,x
1664285103704.4,194.1,28.4,0.4,x
1664285103720.7,194.6,28.3,0.4,x
1664285103737.4,195.2,28.2,0.4,x
1664285103782.3,196,28.4,0.2,x
1664285103809.4,196.1,28.8,0.3,x
1664285103820.6,196.1,29,0.4,x
1664285103837.2,196.4,29.8,0.8,x
1664285103854.4,196.4,30,0.9,x
1664285103870.5,196.6,30.2,1,x
1664285103887.2,196.6,30.3,1.3,x
1664285103903.9,196.6,30.4,1.5,x
1664285103920.5,196.4,30.6,2,x
1664285103937.1,196.4,30.4,2.7,x
1664285103953.8,196.4,30.2,2.8,x
1664285103970.5,196.5,29.9,2.9,x
1664285103987.2,196.6,29.9,3.1,x
1664285104004.3,196.6,30,3.7,x
1664285104020.3,196.7,30.1,4,x
1664285104037.2,197,30,4.2,x
1664285104053.9,197.2,29.9,4.1,x
1664285104081.1,197.8,29.7,3.7,x
1664285104087.3,198,29.7,3.6,x
1664285104104.5,198.3,29.7,3.5,x
1664285104120.4,198.8,29.7,3.3,x
1664285104137.3,199.2,29.6,3,x
1664285104154,199.3,29.5,2.9,x
1664285104170.7,199.4,29.5,2.8,x
1664285104187.8,199.3,29.7,2.7,x
1664285104220.5,199.1,30.2,2.9,x
1664285104237.3,199,30.3,3,x
1664285104254.7,198.8,30.7,3,x
