time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_standing
1655202436251.5,0,-0.2,0.2,-0.3,3.9,9.1,-2.8,-0.5,-0.6,x
1655202436268.1,0.1,-0.1,0.1,-0.3,3.9,9,-2.1,-1.1,-1.6,x
1655202436285.2,0,0,0.1,-0.3,4,9.1,-2.4,-2.1,-2.8,x
1655202436302,-0.1,-0.1,0.1,-0.4,3.9,9.1,-2.1,-2.3,-3.1,x
1655202436318.2,-0.2,0,0,-0.5,4,9,-1.9,-2.7,-2,x
1655202436334.9,0.1,0.2,0,-0.3,4.1,9,-3.7,-3.2,1.2,x
1655202436351.5,0.1,0.1,0.1,-0.2,4,9.1,-3.5,-2,1.1,x
1655202436369.3,0.1,0,0.1,-0.2,3.9,9.1,-0.7,1.8,-0.6,x
1655202436384.9,-0.1,0,0.1,-0.4,3.9,9,0.9,2,-1.8,x
1655202436401.5,-0.1,0,0,-0.5,4,9,1.1,0.8,-2,x
1655202436418.6,-0.1,0,-0.1,-0.4,4,8.9,1.8,0.4,-1.3,x
1655202436435,0,0.2,-0.2,-0.4,4.1,8.8,0.5,2.5,-0.2,x
1655202436451.6,0,0.1,-0.2,-0.4,4,8.8,-0.4,2.9,0.4,x
1655202436469.2,0,0,0,-0.4,4,8.9,-3.1,2.5,1,x
1655202436484.9,0,0,0.3,-0.4,4,9.2,-4.4,0.5,0.9,x
1655202436501.1,0,-0.1,0.4,-0.4,3.9,9.3,-3.1,0.3,1,x
1655202436517.9,0.1,0,0.3,-0.3,3.9,9.3,0.5,1.9,1.2,x
1655202436534.9,0.1,0,0.1,-0.3,3.9,9.1,3.5,2.1,-0.5,x
1655202436551.3,0,0,0,-0.4,3.9,9,3.3,2.1,-0.8,x
1655202436569.1,0,0,0,-0.4,3.9,8.9,1.4,1.4,-0.2,x
1655202436584.9,0.1,0,0,-0.3,4,9,0.2,0.9,0.6,x
1655202436601.6,0.2,0,0,-0.2,3.9,9,0.3,1,0.2,x
1655202436618.6,0.1,-0.1,0,-0.3,3.9,8.9,0.6,2.2,-1.6,x
1655202436634.9,0.1,-0.1,-0.1,-0.4,3.8,8.9,0.6,2,-2,x
1655202436653.3,0.1,-0.1,-0.1,-0.3,3.9,8.9,-0.3,1.5,-2,x
1655202436668.2,0.1,-0.1,0,-0.3,3.9,8.9,-0.8,1.1,-2.1,x
1655202436685,0.1,-0.1,-0.1,-0.3,3.9,8.9,-0.3,0.3,-2,x
1655202436701.6,0.2,0,-0.1,-0.2,3.9,8.9,0.2,0.2,-2.2,x
